Power,Python,NumPy,Dask,Torch
1,7.900000014160469e-06,2.386899996054126e-05,0.006184403000020211,8.819499998935498e-05
2,1.071300005150988e-05,8.815999990474666e-06,0.00472155499994642,2.9627999992953846e-05
3,8.951099994192191e-05,9.509000051366456e-06,0.0038396749999947133,3.4072000062224106e-05
4,0.0007846639999797844,2.9960999995637394e-05,0.004002831999969203,7.740799992461689e-05
5,0.0106227780000836,0.0005959390000498388,0.005416665999973702,0.0007862639999984822
6,0.10937474499996824,0.0038995650000970272,0.012399925000067924,0.005647420999935093
7,1.1194588240000485,0.036589923999940765,0.09981299300000046,0.07376253299992186
